А	а 
Китая	к и т а я 
Козак	к о з а к 
Кошка	к о ш к а 
Крыма	к р ы м а 
Кукла	к у к л а 
Кукӑр	к у к ӑ р 
Кунта	к у н т а 
Курав	к у р а в 
Кушак	к у ш а к 
Кушев	к у ш е в 
Кӑвак	к ӑ в а к 
Кӑмӑл	к ӑ м ӑ л 
Кӑҫал	к ӑ ҫ а л 
Кӗрхи	к ӗ р х и 
Кӗске	к ӗ с к е 
Кӗҫех	к ӗ ҫ е х 
Кӗҫӗр	к ӗ ҫ ӗ р 
Лапин	л а п и н 
Ларма	л а р м а 
Латин	л а т и н 
Ленин	л е н и н 
МЧСӗн	м ч с ӗ н 
Майна	м а й н а 
Малти	м а л т и 
Манси	м а н с и 
Манӑн	м а н ӑ н 
Марат	м а р а т 
Мария	м а р и я 
Мезон	м е з о н 
Минпа	м и н п а 
Митин	м и т и н 
Мишши	м и ш ш и 
Морис	м о р и с 
Музей	м у з е й 
Мӑкшӑ	м ӑ к ш ӑ 
Мӑкӑр	м ӑ к ӑ р 
Мӗнле	м ӗ н л е 
Мӗтри	м ӗ т р и 
Намӑс	н а м ӑ с 
Настя	н а с т я 
Нацин	н а ц и н 
Ненец	н е н е ц 
Ницше	н и ц ш е 
Норма	н о р м а 
Нумай	н у м а й 
Олара	о л а р а 
Олари	о л а р и 
Олимп	о л и м п 
Ольга	о л ь г а 
Опека	о п е к а 
Павел	п а в е л 
Паллӑ	п а л л ӑ 
Парӑм	п а р ӑ м 
Пачах	п а ч а х 
Педро	п е д р о 
Пенза	п е н з а 
Пепке	п е п к е 
Пилӗк	п и л ӗ к 
Пирӗн	п и р ӗ н 
Питӗр	п и т ӗ р 
Пичет	п и ч е т 
Полис	п о л и с 
Право	п р а в о 
Пресс	п р е с с 
Проза	п р о з а 
Птицы	п т и ц ы 
Пулас	п у л а с 
Пурне	п у р н е 
Путин	п у т и н 
Пушар	п у ш а р 
Пысӑк	п ы с ӑ к 
Пӑрлӑ	п ӑ р л ӑ 
Пӗрле	п ӗ р л е 
Пӗтӗм	п ӗ т ӗ м 
Пӗчӗк	п ӗ ч ӗ к 
Район	р а й о н 
Рафис	р а ф и с 
Роман	р о м а н 
Рункӑ	р у н к ӑ 
Савут	с а в у т 
Самар	с а м а р 
Санкт	с а н к т 
Сарту	с а р т у 
Семен	с е м е н 
Сибал	с и б а л 
Совет	с о в е т 
Сочие	с о ч и е 
Союзӗ	с о ю з ӗ 
Спорт	с п о р т 
Сувар	с у в а р 
Судпа	с у д п а 
Сурӑм	с у р ӑ м 
Сусӑр	с у с ӑ р 
Сцена	с ц е н а 
Сӑмах	с ӑ м а х 
Сӑмси	с ӑ м с и 
Сӑнав	с ӑ н а в 
Сӑнпа	с ӑ н п а 
Тавах	т а в а х 
Танцы	т а н ц ы 
Театр	т е а т р 
Телее	т е л е е 
Телей	т е л е й 
Тенор	т е н о р 
Тепре	т е п р е 
Тепӗр	т е п ӗ р 
Тилли	т и л л и 
Тимӗр	т и м ӗ р 
Трамп	т р а м п 
Тулай	т у л а й 
Тулли	т у л л и 
Турра	т у р р а 
Тутар	т у т а р 
Тухса	т у х с а 
Тухӑҫ	т у х ӑ ҫ 
Тӑван	т ӑ в а н 
Тӗмен	т ӗ м е н 
Тӗнче	т ӗ н ч е 
Тӗплӗ	т ӗ п л ӗ 
Тӳрех	т ӳ р е х 
УДОпа	у д о п а 
Узоры	у з о р ы 
Указа	у к а з а 
Улхаш	у л х а ш 
Унсӑр	у н с ӑ р 
Унтан	у н т а н 
Унтах	у н т а х 
Уншӑн	у н ш ӑ н 
Урбан	у р б а н 
Ухсай	у х с а й 
Ушкӑн	у ш к ӑ н 
Уявра	у я в р а 
Уярӑн	у я р ӑ н 
ФХСра	ф х с р а 
Федор	ф е д о р 
Финал	ф и н а л 
Фомин	ф о м и н 
Хайхи	х а й х и 
Хакне	х а к н е 
Халӑх	х а л ӑ х 
Хамбо	х а м б о 
Хамӑр	х а м ӑ р 
Ханна	х а н н а 
Ханты	х а н т ы 
Хисеп	х и с е п 
Хитре	х и т р е 
Холоп	х о л о п 
Хосеп	х о с е п 
Хурал	х у р а л 
Хусан	х у с а н 
Хутар	х у т а р 
Хутӑш	х у т ӑ ш 
Хушма	х у ш м а 
Хушни	х у ш н и 
Хыпар	х ы п а р 
Хӑйне	х ӑ й н е 
Хӑйӗн	х ӑ й ӗ н 
Хӑмӑр	х ӑ м ӑ р 
Хӗвел	х ӗ в е л 
Хӗлеҫ	х ӗ л е ҫ 
Хӗрлӗ	х ӗ р л ӗ 
ЧНКан	ч н к а н 
ЧНКна	ч н к н а 
Чаплӑ	ч а п л ӑ 
Часть	ч а с т ь 
Чемен	ч е м е н 
Честр	ч е с т р 
Чечня	ч е ч н я 
Чипер	ч и п е р 
Чиркӳ	ч и р к ӳ 
Чутай	ч у т а й 
Чылай	ч ы л а й 
Чӑваш	ч ӑ в а ш 
Чӑнлӑ	ч ӑ н л ӑ 
Чӑрӑш	ч ӑ р ӑ ш 
Чӗлхе	ч ӗ л х е 
Чӗнсе	ч ӗ н с е 
Чӳкӗн	ч ӳ к ӗ н 
Шалти	ш а л т и 
Шешме	ш е ш м е 
Шыври	ш ы в р и 
Шӑпах	ш ӑ п а х 
ШӖМне	ш ӗ м н е 
ШӖМӗн	ш ӗ м ӗ н 
Ыйтса	ы й т с а 
Ылтӑн	ы л т ӑ н 
ЭЛАРА	э л а р а 
Эйпеҫ	э й п е ҫ 
Элтен	э л т е н 
Эльза	э л ь з а 
Эппин	э п п и н 
Эхвет	э х в е т 
Юрату	ю р а т у 
Юрать	ю р а т ь 
Якути	я к у т и 
Япрак	я п р а к 
автор	а в т о р 
айӑпа	а й ӑ п а 
акцие	а к ц и е 
алтнӑ	а л т н ӑ 
амине	а м и н е 
амӑшӗ	а м ӑ ш ӗ 
анать	а н а т ь 
анине	а н и н е 
анлӑн	а н л ӑ н 
ансат	а н с а т 
анчах	а н ч а х 
апата	а п а т а 
архив	а р х и в 
арҫын	а р ҫ ы н 
арӑмӗ	а р ӑ м ӗ 
асӑну	а с ӑ н у 
ахаль	а х а л ь 
ачана	а ч а н а 
ачапа	а ч а п а 
ачине	а ч и н е 
ачипе	а ч и п е 
аякра	а я к р а 
аялти	а я л т и 
аҫине	а ҫ и н е 
балет	б а л е т 
билет	б и л е т 
бланк	б л а н к 
блока	б л о к а 
бомба	б о м б а 
будет	б у д е т 
валли	в а л л и 
ванма	в а н м а 
ваннӑ	в а н н ӑ 
варне	в а р н е 
вилли	в и л л и 
вилни	в и л н и 
вилнӗ	в и л н ӗ 
вилсе	в и л с е 
вилӗм	в и л ӗ м 
витнӗ	в и т н ӗ 
витӗм	в и т ӗ м 
витӗр	в и т ӗ р 
виҫен	в и ҫ е н 
виҫҫӗ	в и ҫ ҫ ӗ 
влаҫӗ	в л а ҫ ӗ 
время	в р е м я 
вуннӑ	в у н н ӑ 
вуҫех	в у ҫ е х 
вылӗҫ	в ы л ӗ ҫ 
вырнӑ	в ы р н ӑ 
выртӗ	в ы р т ӗ 
вырӑн	в ы р ӑ н 
вырӑс	в ы р ӑ с 
выҫса	в ы ҫ с а 
вӑййи	в ӑ й й и 
вӑйлӑ	в ӑ й л ӑ 
вӑйне	в ӑ й н е 
вӑйпа	в ӑ й п а 
вӑйра	в ӑ й р а 
вӑлах	в ӑ л а х 
вӑлча	в ӑ л ч а 
вӑрах	в ӑ р а х 
вӑрҫӑ	в ӑ р ҫ ӑ 
вӑрӑм	в ӑ р ӑ м 
вӑтам	в ӑ т а м 
вӑхӑт	в ӑ х ӑ т 
вӗрен	в ӗ р е н 
вӗсем	в ӗ с е м 
вӗсен	в ӗ с е н 
вӗсме	в ӗ с м е 
вӗҫес	в ӗ ҫ е с 
вӗҫме	в ӗ ҫ м е 
вӗҫне	в ӗ ҫ н е 
вӗҫнӗ	в ӗ ҫ н ӗ 
гений	г е н и й 
герой	г е р о й 
гимне	г и м н е 
город	г о р о д 
грамм	г р а м м 
грант	г р а н т 
дамба	д а м б а 
джинс	д ж и н с 
драма	д р а м а 
ейӗвӗ	е й ӗ в ӗ 
енсем	е н с е м 
ентеш	е н т е ш 
енчен	е н ч е н 
енӗпе	е н ӗ п е 
ертсе	е р т с е 
жанра	ж а н р а 
жизнь	ж и з н ь 
жюрие	ж ю р и е 
залне	з а л н е 
залра	з а л р а 
земли	з е м л и 
иккен	и к к е н 
илеет	и л е е т 
илмен	и л м е н 
илсен	и л с е н 
илтни	и л т н и 
илтнӗ	и л т н ӗ 
илчӗҫ	и л ч ӗ ҫ 
инкек	и н к е к 
инҫет	и н ҫ е т 
иртет	и р т е т 
иртне	и р т н е 
иртни	и р т н и 
иртнӗ	и р т н ӗ 
иртрӗ	и р т р ӗ 
иртсе	и р т с е 
ирӗке	и р ӗ к е 
ирӗкӗ	и р ӗ к ӗ 
искра	и с к р а 
ислам	и с л а м 
ислен	и с л е н 
итлев	и т л е в 
итлсе	и т л с е 
йывӑр	й ы в ӑ р 
йывӑҫ	й ы в ӑ ҫ 
йышне	й ы ш н е 
йышши	й ы ш ш и 
йӑпӑр	й ӑ п ӑ р 
йӑтса	й ӑ т с а 
йӗкӗр	й ӗ к ӗ р 
йӗрке	й ӗ р к е 
йӗрки	й ӗ р к и 
йӳнех	й ӳ н е х 
кадет	к а д е т 
казах	к а з а х 
кайма	к а й м а 
кайми	к а й м и 
кайнӑ	к а й н ӑ 
кайрӗ	к а й р ӗ 
кайса	к а й с а 
кайӑк	к а й ӑ к 
кайӗҫ	к а й ӗ ҫ 
какай	к а к а й 
калуш	к а л у ш 
калӗҫ	к а л ӗ ҫ 
камит	к а м и т 
камне	к а м н е 
камӑн	к а м ӑ н 
канаш	к а н а ш 
канма	к а н м а 
канми	к а н м и 
канӑҫ	к а н ӑ ҫ 
капла	к а п л а 
карас	к а р а с 
карса	к а р с а 
карта	к а р т а 
касма	к а с м а 
касни	к а с н и 
каснӑ	к а с н ӑ 
касса	к а с с а 
касӗҫ	к а с ӗ ҫ 
катан	к а т а н 
качча	к а ч ч а 
каччи	к а ч ч и 
каччӑ	к а ч ч ӑ 
кашни	к а ш н и 
каяша	к а я ш а 
каҫах	к а ҫ а х 
каҫма	к а ҫ м а 
каҫхи	к а ҫ х и 
каҫҫа	к а ҫ ҫ а 
квант	к в а н т 
келлӗ	к е л л ӗ 
килес	к и л е с 
килет	к и л е т 
килме	к и л м е 
килмӗ	к и л м ӗ 
килне	к и л н е 
килнӗ	к и л н ӗ 
килсе	к и л с е 
килте	к и л т е 
килти	к и л т и 
килчӗ	к и л ч ӗ 
килӗҫ	к и л ӗ ҫ 
кирек	к и р е к 
кирли	к и р л и 
кирлӗ	к и р л ӗ 
класа	к л а с а 
класс	к л а с с 
класӗ	к л а с ӗ 
клуба	к л у б а 
клубе	к л у б е 
клубӗ	к л у б ӗ 
кодне	к о д н е 
колец	к о л е ц 
корчӗ	к о р ч ӗ 
кулни	к у л н и 
кунах	к у н а х 
кунне	к у н н е 
кунпа	к у н п а 
кунра	к у н р а 
кунта	к у н т а 
кунти	к у н т и 
кунхи	к у н х и 
купас	к у п а с 
купӑс	к у п ӑ с 
курав	к у р а в 
курма	к у р м а 
курни	к у р н и 
курнӑ	к у р н ӑ 
курса	к у р с а 
курсӗ	к у р с ӗ 
курӑк	к у р ӑ к 
кусем	к у с е м 
куҫма	к у ҫ м а 
куҫне	к у ҫ н е 
куҫнӑ	к у ҫ н ӑ 
куҫпа	к у ҫ п а 
куҫса	к у ҫ с а 
куҫӑн	к у ҫ ӑ н 
куҫӗҫ	к у ҫ ӗ ҫ 
кӑвак	к ӑ в а к 
кӑкӑр	к ӑ к ӑ р 
кӑмӑл	к ӑ м ӑ л 
кӑҫал	к ӑ ҫ а л 
кӗмӗл	к ӗ м ӗ л 
кӗпер	к ӗ п е р 
кӗрет	к ӗ р е т 
кӗрсе	к ӗ р с е 
кӗске	к ӗ с к е 
кӗтет	к ӗ т е т 
кӗтме	к ӗ т м е 
кӗтнӗ	к ӗ т н ӗ 
кӗтсе	к ӗ т с е 
кӗтӗр	к ӗ т ӗ р 
кӗшӗк	к ӗ ш ӗ к 
кӗҫех	к ӗ ҫ е х 
кӗҫӗн	к ӗ ҫ ӗ н 
кӳрет	к ӳ р е т 
кӳрсе	к ӳ р с е 
кӳрши	к ӳ р ш и 
кӳршӗ	к ӳ р ш ӗ 
лавне	л а в н е 
лайах	л а й а х 
лайӑх	л а й ӑ х 
лапам	л а п а м 
ларас	л а р а с 
ларма	л а р м а 
ларни	л а р н и 
ларнӑ	л а р н ӑ 
ларса	л а р с а 
латин	л а т и н 
лекет	л е к е т 
лекме	л е к м е 
лекнӗ	л е к н ӗ 
лекци	л е к ц и 
леҫсе	л е ҫ с е 
лучше	л у ч ш е 
лӑпкӑ	л ӑ п к ӑ 
майлӑ	м а й л ӑ 
майпа	м а й п а 
малта	м а л т а 
малти	м а л т и 
маннӑ	м а н н ӑ 
манӑн	м а н ӑ н 
марша	м а р ш а 
маршӗ	м а р ш ӗ 
масар	м а с а р 
меллӗ	м е л л ӗ 
метра	м е т р а 
мехел	м е х е л 
мимин	м и м и н 
минут	м и н у т 
музей	м у з е й 
мукки	м у к к и 
мунча	м у н ч а 
мунче	м у н ч е 
мэрне	м э р н е 
мэрӗн	м э р ӗ н 
мӑйӑр	м ӑ й ӑ р 
мӑнук	м ӑ н у к 
мӑшӑр	м ӑ ш ӑ р 
мӗнле	м ӗ н л е 
мӗнпе	м ӗ н п е 
налук	н а л у к 
народ	н а р о д 
нарӑс	н а р ӑ с 
нацин	н а ц и н 
нация	н а ц и я 
начар	н а ч а р 
ненец	н е н е ц 
никам	н и к а м 
никӗс	н и к ӗ с 
нимле	н и м л е 
нимӗн	н и м ӗ н 
нимӗҫ	н и м ӗ ҫ 
ниҫта	н и ҫ т а 
номер	н о м е р 
нужно	н у ж н о 
нумай	н у м а й 
опера	о п е р а 
орден	о р д е н 
пайне	п а й н е 
пайта	п а й т а 
пайӗн	п а й ӗ н 
палла	п а л л а 
палли	п а л л и 
паллӑ	п а л л ӑ 
палӑк	п а л ӑ к 
паман	п а м а н 
парас	п а р а с 
парне	п а р н е 
парса	п а р с а 
парти	п а р т и 
парӑм	п а р ӑ м 
парӗҫ	п а р ӗ ҫ 
пасар	п а с а р 
патне	п а т н е 
патра	п а т р а 
патша	п а т ш а 
патши	п а т ш и 
патӑм	п а т ӑ м 
пахча	п а х ч а 
пахчи	п а х ч и 
пачах	п а ч а х 
пачӗҫ	п а ч ӗ ҫ 
пекех	п е к е х 
пекки	п е к к и 
пенси	п е н с и 
пепке	п е п к е 
персе	п е р с е 
пехил	п е х и л 
пикет	п и к е т 
пикри	п и к р и 
пилӗк	п и л ӗ к 
пинне	п и н н е 
пирки	п и р к и 
пирус	п и р у с 
пирӗн	п и р ӗ н 
питех	п и т е х 
питлӗ	п и т л ӗ 
пичет	п и ч е т 
пичче	п и ч ч е 
пиҫсе	п и ҫ с е 
плана	п л а н а 
поляк	п о л я к 
почта	п о ч т а 
поэчӗ	п о э ч ӗ 
права	п р а в а 
право	п р а в о 
преми	п р е м и 
пресс	п р е с с 
принц	п р и н ц 
проза	п р о з а 
пулас	п у л а с 
пулах	п у л а х 
пулин	п у л и н 
пулма	п у л м а 
пулмӗ	п у л м ӗ 
пулни	п у л н и 
пулнӑ	п у л н ӑ 
пулса	п у л с а 
пулчӗ	п у л ч ӗ 
пулӑм	п у л ӑ м 
пулӗҫ	п у л ӗ ҫ 
пункт	п у н к т 
пурах	п у р а х 
пурин	п у р и н 
пурне	п у р н е 
пурри	п у р р и 
пурте	п у р т е 
пусан	п у с а н 
пусма	п у с м а 
пуснӑ	п у с н ӑ 
пусса	п у с с а 
пусӑм	п у с ӑ м 
путнӑ	п у т н ӑ 
путём	п у т ё м 
пухма	п у х м а 
пухнӑ	п у х н ӑ 
пухса	п у х с а 
пушар	п у ш а р 
пуҫлӗ	п у ҫ л ӗ 
пуҫне	п у ҫ н е 
пыран	п ы р а н 
пырса	п ы р с а 
пырӑр	п ы р ӑ р 
пырӗҫ	п ы р ӗ ҫ 
пысӑк	п ы с ӑ к 
пӑвса	п ӑ в с а 
пӑрпа	п ӑ р п а 
пӑрса	п ӑ р с а 
пӑрӑх	п ӑ р ӑ х 
пӑсни	п ӑ с н и 
пӑснӑ	п ӑ с н ӑ 
пӑсса	п ӑ с с а 
пӑхас	п ӑ х а с 
пӑхма	п ӑ х м а 
пӑхни	п ӑ х н и 
пӑхнӑ	п ӑ х н ӑ 
пӑхса	п ӑ х с а 
пӑхӑр	п ӑ х ӑ р 
пӑчан	п ӑ ч а н 
пӗлес	п ӗ л е с 
пӗлет	п ӗ л е т 
пӗлме	п ӗ л м е 
пӗлни	п ӗ л н и 
пӗлнӗ	п ӗ л н ӗ 
пӗлсе	п ӗ л с е 
пӗлӗҫ	п ӗ л ӗ ҫ 
пӗрер	п ӗ р е р 
пӗрех	п ӗ р е х 
пӗрин	п ӗ р и н 
пӗрле	п ӗ р л е 
пӗрне	п ӗ р н е 
пӗрре	п ӗ р р е 
пӗтнӗ	п ӗ т н ӗ 
пӗтӗм	п ӗ т ӗ м 
пӗчӗк	п ӗ ч ӗ к 
пӳллӗ	п ӳ л л ӗ 
пӳлӗм	п ӳ л ӗ м 
пӳрте	п ӳ р т е 
пӳрчӗ	п ӳ р ч ӗ 
район	р а й о н 
рейда	р е й д а 
рейса	р е й с а 
роман	р о м а н 
рояль	р о я л ь 
рынок	р ы н о к 
савут	с а в у т 
савӑт	с а в ӑ т 
садик	с а д и к 
сайра	с а й р а 
сайчӗ	с а й ч ӗ 
сакки	с а к к и 
сакӑр	с а к ӑ р 
салам	с а л а м 
самай	с а м а й 
самах	с а м а х 
самый	с а м ы й 
санӑн	с а н ӑ н 
сарай	с а р а й 
сарас	с а р а с 
сарма	с а р м а 
сарнӑ	с а р н ӑ 
сарса	с а р с а 
сарӗҫ	с а р ӗ ҫ 
сасси	с а с с и 
сахал	с а х а л 
связи	с в я з и 
секци	с е к ц и 
семью	с е м ь ю 
сенаж	с е н а ж 
сехет	с е х е т 
сехре	с е х р е 
сийлӗ	с и й л ӗ 
сиксе	с и к с е 
симӗс	с и м ӗ с 
сирме	с и р м е 
сирӗн	с и р ӗ н 
скейт	с к е й т 
слова	с л о в а 
союзӗ	с о ю з ӗ 
спорт	с п о р т 
срокӗ	с р о к ӗ 
старт	с т а р т 
студи	с т у д и 
судйи	с у д й и 
судне	с у д н е 
судпа	с у д п а 
судра	с у д р а 
суйса	с у й с а 
сумлӑ	с у м л ӑ 
сумне	с у м н е 
суннӑ	с у н н ӑ 
супер	с у п е р 
суран	с у р а н 
сусӑр	с у с ӑ р 
сутма	с у т м а 
сутнӑ	с у т н ӑ 
сутса	с у т с а 
сухан	с у х а н 
сучӗн	с у ч ӗ н 
сцена	с ц е н а 
съезд	с ъ е з д 
сӑмах	с ӑ м а х 
сӑмси	с ӑ м с и 
сӑнав	с ӑ н а в 
сӑнар	с ӑ н а р 
сӑпки	с ӑ п к и 
сӑран	с ӑ р а н 
сӗнес	с ӗ н е с 
сӗнет	с ӗ н е т 
сӗнме	с ӗ н м е 
сӗннӗ	с ӗ н н ӗ 
сӗнсе	с ӗ н с е 
сӗрме	с ӗ р м е 
сӗтев	с ӗ т е в 
сӗтел	с ӗ т е л 
сӗтпе	с ӗ т п е 
сӳннӗ	с ӳ н н ӗ 
сӳнсе	с ӳ н с е 
сӳтсе	с ӳ т с е 
тавар	т а в а р 
тавра	т а в р а 
тавӑҫ	т а в ӑ ҫ 
тайса	т а й с а 
такам	т а к а м 
такӑр	т а к ӑ р 
талӑк	т а л ӑ к 
тапса	т а п с а 
таран	т а р а н 
тариф	т а р и ф 
тарнӑ	т а р н ӑ 
тарса	т а р с а 
тарҫи	т а р ҫ и 
тарӑн	т а р ӑ н 
тарӑх	т а р ӑ х 
татма	т а т м а 
татнӑ	т а т н ӑ 
татса	т а т с а 
татти	т а т т и 
таять	т а я т ь 
таҫта	т а ҫ т а 
театр	т е а т р 
тейӗн	т е й ӗ н 
текен	т е к е н 
текех	т е к е х 
темен	т е м е н 
темех	т е м е х 
темле	т е м л е 
темҫе	т е м ҫ е 
темӗн	т е м ӗ н 
тенке	т е н к е 
тенки	т е н к и 
тенкӗ	т е н к ӗ 
тепре	т е п р е 
тепри	т е п р и 
тепӗр	т е п ӗ р 
терӗм	т е р ӗ м 
терӗҫ	т е р ӗ ҫ 
тесен	т е с е н 
тетӗн	т е т ӗ н 
тетӗп	т е т ӗ п 
теҫҫӗ	т е ҫ ҫ ӗ 
тивет	т и в е т 
тивме	т и в м е 
тивнӗ	т и в н ӗ 
тиврӗ	т и в р ӗ 
тивӗҫ	т и в ӗ ҫ 
тимлӗ	т и м л ӗ 
тимӗр	т и м ӗ р 
тинех	т и н е х 
тирне	т и р н е 
томлӑ	т о м л ӑ 
тонна	т о н н а 
туйма	т у й м а 
тулли	т у л л и 
тулса	т у л с а 
туман	т у м а н 
тунса	т у н с а 
тунти	т у н т и 
тупма	т у п м а 
тупни	т у п н и 
тупнӑ	т у п н ӑ 
тупра	т у п р а 
тупса	т у п с а 
тупӑш	т у п ӑ ш 
турта	т у р т а 
турӗҫ	т у р ӗ ҫ 
тусан	т у с а н 
туслӑ	т у с л ӑ 
тутар	т у т а р 
тутӑр	т у т ӑ р 
тухас	т у х а с 
тухйи	т у х й и 
тухма	т у х м а 
тухни	т у х н и 
тухнӑ	т у х н ӑ 
тухса	т у х с а 
тухӗҫ	т у х ӗ ҫ 
тырра	т ы р р а 
тытас	т ы т а с 
тытма	т ы т м а 
тытнӑ	т ы т н ӑ 
тытса	т ы т с а 
тытӑм	т ы т ӑ м 
тӑван	т ӑ в а н 
тӑвас	т ӑ в а с 
тӑвӑн	т ӑ в ӑ н 
тӑвӗҫ	т ӑ в ӗ ҫ 
тӑкак	т ӑ к а к 
тӑкнӑ	т ӑ к н ӑ 
тӑлӑх	т ӑ л ӑ х 
тӑман	т ӑ м а н 
тӑмра	т ӑ м р а 
тӑнлӑ	т ӑ н л ӑ 
тӑнне	т ӑ н н е 
тӑпра	т ӑ п р а 
тӑрас	т ӑ р а с 
тӑрах	т ӑ р а х 
тӑрса	т ӑ р с а 
тӑрук	т ӑ р у к 
тӑрӑр	т ӑ р ӑ р 
тӑрӑх	т ӑ р ӑ х 
тӑрӗҫ	т ӑ р ӗ ҫ 
тӑсма	т ӑ с м а 
тӑснӑ	т ӑ с н ӑ 
тӑсса	т ӑ с с а 
тӑчӗҫ	т ӑ ч ӗ ҫ 
тӗвек	т ӗ в е к 
тӗлне	т ӗ л н е 
тӗнне	т ӗ н н е 
тӗнче	т ӗ н ч е 
тӗпел	т ӗ п е л 
тӗплӗ	т ӗ п л ӗ 
тӗрев	т ӗ р е в 
тӗрле	т ӗ р л е 
тӗрлӗ	т ӗ р л ӗ 
тӗрри	т ӗ р р и 
тӗрӗс	т ӗ р ӗ с 
тӗслӗ	т ӗ с л ӗ 
тӳлес	т ӳ л е с 
тӳнсе	т ӳ н с е 
тӳрех	т ӳ р е х 
тӳрре	т ӳ р р е 
уйрӑм	у й р ӑ м 
уйӑхӗ	у й ӑ х ӗ 
уксус	у к с у с 
укҫан	у к ҫ а н 
унран	у н р а н 
